Country_Name,Country_Code,pop_1990,emissions_90,pop_1991,emissions_91,pop_1992,emissions_92,pop_1993,emissions_93,pop_1994,emissions_94,pop_1995,emissions_95,pop_1996,emissions_96,pop_1997,emissions_97,pop_1998,emissions_98,pop_1999,emissions_99,pop_2000,emissions_00,pop_2001,emissions_01,pop_2002,emissions_02,pop_2003,emissions_03,pop_2004,emissions_04,pop_2005,emissions_05,pop_2006,emissions_06,pop_2007,emissions_07,pop_2008,emissions_08,pop_2009,emissions_09,pop_2010,emissions_10,pop_2011,emissions_11,pop_2012,emissions_12
Barbados,BRB,260374,128.619,261275,126.948,262184,125.88,263089,123.372,264015,123.58,264959,123.837,265942,124.024,266945,111.406,267950,113.956,268922,117.105,269847,121.071,270685,106.719,271478,105.882,272258,104.898,273091,99.5031,274009,103.249,275039,101.042,276150,103.08,277319,103.598,278470,105.803,279569,107.243,280601,108.31543,281585,109.38786
"Brunei Darussalam",BRN,258785,3611.25,266274,3695.32,273963,4173.59,281751,3855.17,289525,3829.26,297192,4191.14,304699,3898.59,312038,3914,319222,7163.45,326289,3964.27,333241,3881.73,340117,4047.02,346867,4015.77,353389,4266.33,359523,4135.8,365158,4570.73,370250,4499.68,374864,4333.04,379252,4652.14,383772,4429.97,388662,4450.36,394013,4494.8636,399748,4539.3672
Bhutan,BTN,537280,918.942,537284,910.801,531525,1195.84,523117,1192.97,516503,1190.05,514877,1154.71,519282,1154.01,528754,1056.38,542155,1070.87,557543,1247.89,573416,1032.4,589600,948.136,606399,1010.49,623434,912.517,640282,1016.32,656639,1033.11,672228,1256.19,686958,1118.85,700950,1203.31,714458,1358.17,727641,1734.98,740510,1752.3298,752967,1769.6796
Botswana,BWA,1377912,6074.01,1416731,4876.54,1455833,6693.47,1494693,4024.46,1532622,4836.68,1569094,5429.5,1604060,4568.76,1637635,4458,1669625,3974.15,1699862,4125.6,1728340,3941.21,1754935,5161.82,1779953,5879.15,1804339,4367.6,1829330,4429.64,1855852,4657.86,1884238,3850.23,1914414,3936.47,1946351,3875.37,1979882,4163.79,2014866,4360.95,2051339,4404.5595,2089315,4448.169
"Central African Republic",CAF,2939780,42252.8,3014624,28539.5,3095807,36670.8,3181222,32322.8,3267670,31685.4,3352767,37658.1,3435821,36284.9,3517309,37143.3,3597385,22640.2,3676508,24269.5,3754986,26663.3,3832203,36482.5,3907612,23758.8,3981665,26071.8,4055036,24080.1,4127910,25739.8,4201758,91775.7,4275800,147533,4345386,97375.6,4404230,73694.5,4448525,83996.9,4476153,84836.869,4490416,85676.838
Canada,CAN,27791000,77163.5,28171682,81474,28519597,83400.6,28833410,89389.9,29111906,104467,29354000,109622,29671900,97909.6,29987200,98142.2,30247900,114948,30499200,104782,30769700,102170,31081900,103053,31362000,106819,31676000,111137,31995000,114500,32312000,108519,32570505,107954,32887928,107975,33245773,107850,33628571,103829,34005274,104529,34342780,105687.6622,34750545,106846.7743
"Central Europe and the Baltics",CEB,110745760,219136.3,110290445,206963.66,110005636,195500.8,110081461,174946.17,110019570,172357.79,109913216,167558.99,109563097,165075.77,109459093,162257.35,109207205,151473.77,109102354,146705.22,108405522,154148.33,107800399,153062.77,107097577,152351.85,106760768,153352.34,106466116,151905.42,106173766,151229.7,105901322,151176.18,105504531,148084.54,105126686,146188.95,104924372,145118.9,104543801,145439.98,104174038,144277.2938,103935318,143435.7885
Switzerland,CHE,6715519,5907.07,6799978,5865.67,6875364,5749.27,6938265,5666.06,6993795,5695.96,7040687,5613.28,7071850,5576.61,7088906,5386.85,7110001,5328.37,7143991,5155.53,7184250,5126.48,7229854,5150.73,7284753,5084.65,7339001,4975.49,7389625,4977.71,7437115,4954.17,7483934,4945.07,7551117,4953.02,7647675,4946.62,7743831,4897.93,7824909,4992.3,7912398,4902.809877,7996861,4900.250754
Chile,CHL,13242132,11988.5,13457244,12149.8,13671033,12505.3,13882668,13353.4,14091389,13968.5,14296613,14502,14497826,15107.4,14694835,15788.5,14887756,15907.9,15076952,16781.9,15262754,16928.8,15444969,17474.7,15623635,17621.8,15799542,17592.6,15973778,17745.3,16147064,18196.6,16319792,18389.4,16491687,17972.4,16661942,17995,16829442,18106.9,16993354,18020.1,17153357,18200.301,17309746,18380.502
China,CHN,1135185000,1016910,1150780000,1013520,1164970000,1010330,1178440000,1002980,1191835000,1020310,1204855000,1075420,1217550000,1093470,1230075000,1066800,1241935000,1060240,1252735000,1055950,1262645000,1043400,1271850000,1051690,1280400000,1085790,1288400000,1146530,1296075000,1251300,1303720000,1327790,1311020000,1392640,1317885000,1444170,1324655000,1537220,1331260000,1582750,1337705000,1642260,1344130000,1697274.47,1350695000,1752290.14
"Cote d'Ivoire",CIV,12267754,12146.2,12710008,9723.42,13163019,11411.8,13622731,10598.3,14083611,10766,14540820,12079.7,14995249,11969.2,15445986,12334.1,15884552,12005.4,16300233,10615.9,16686561,14236.9,17040152,13551.2,17366517,13371.7,17679355,10335.6,17997738,10706.8,18336303,12474.4,18699435,13177.9,19085941,13617.4,19497986,14488.5,19936366,14957.3,20401331,15946.7,20895311,16106.167,21418603,16265.634
Cameroon,CMR,11715218,15980.2,12060729,13669.7,12408931,15115.7,12758881,14641.7,13109660,13388.8,13460994,14466.4,13812472,14437.5,14165423,14660.8,14523570,12960.5,14891891,13175.4,15274234,15842.9,15671927,16304.4,16084886,13538.7,16513822,13444,16959081,13852.6,17420795,13699.5,17899562,15852.3,18395389,23834.6,18907008,19927.3,19432541,19356.5,19970495,18153.3,20520447,18334.833,21082383,18516.366
"Congo, Dem. Rep.",COD,34614581,98339.5,35914825,73467,37346147,142818,38833595,59421.6,40273701,78285.6,41595744,81608,42770544,63261.3,43830146,58314.7,44840529,66608,45898667,50887.2,47076387,63695.2,48394338,58373.7,49835756,65881.7,51390033,52897.5,53034217,63674.2,54751476,57684.8,56543011,95370.3,58417562,189678,60373608,69445.7,62409435,69790.8,64523263,73858.9,66713597,74597.489,68978682,75336.078
"Congo, Rep.",COG,2440457,7194.2,2507772,6184.21,2577035,8773.24,2648507,5686.06,2722497,6307.16,2799255,6688.78,2879222,6418.21,2962470,6504.94,3048453,6793.18,3136344,6206.47,3225727,8049.6,3315806,9139.07,3407180,6029.82,3502519,6569.63,3605439,7337.06,3718243,7691.02,3842365,6577.9,3976246,8726.67,4115435,6662.52,4253712,7632.76,4386693,7015.87,4512730,7086.0287,4633363,7156.1874
Colombia,COL,34271565,50252.4,34916766,49461.3,35558682,50728.2,36195168,52097.2,36823537,50995.5,37441977,52588.7,38049038,53947,38645411,54285.8,39234062,54309.2,39819279,52083.4,40403958,55118.5,40988909,54537.8,41572491,55418.2,42152151,56243.4,42724163,57499.5,43285634,57745.4,43835722,59691.2,44374572,61599.7,44901544,63054,45416181,67210,45918097,66646,46406646,67312.46,46881475,67978.92
Comoros,COM,411594,181.068,423872,184.723,436448,189.467,449274,193.352,462277,198.379,475394,203.41,488627,208.382,501953,212.202,515385,218.516,528848,225.634,542357,223.896,555888,231.328,569479,237.322,583211,235.417,597228,240.104,611627,245.037,626425,251.857,641620,255.213,657229,260.502,673252,276.714,689692,278.231,706569,281.01331,723868,283.79562
"Cabo Verde",CPV,341883,83.2303,349934,86.7776,359090,96.8397,369014,99.3156,379156,95.4609,389127,103.164,398773,96.5254,408175,101.509,417323,108.039,426285,110.689,435079,110.729,443716,114.009,452106,116.837,460147,121.228,467664,125.179,474567,128.311,480795,131.823,486438,135.212,491723,138.742,496963,143.475,502384,148.516,508067,150.00116,513979,151.48632
"Costa Rica",CRI,3095995,3768.53,3175649,3757.12,3257466,3725.6,3341004,3612.41,3425690,3343.05,3510926,3051.81,3596732,3049.7,3682725,2982.19,3767373,3048.23,3848723,2951.05,3925443,2916.91,3996798,2848.72,4063204,2767.41,4125971,2729.54,4187038,2682.46,4247841,2434.86,4308794,2344.76,4369469,2254.63,4429508,2167.74,4488263,2249.18,4545280,2269.13,4600474,2291.8213,4654122,2314.5126
"Caribbean small states",CSS,6021614,7145.5093,6070204,7434.3391,6124265,7866.7388,6181538,7921.4671,6238576,7569.4289,6292827,7751.4246,6343683,8221.1591,6392040,8140.7765,6438587,11051.6223,6484510,8702.5078,6530691,9304.4753,6577216,9937.2049,6623792,10765.559,6670276,13202.628,6716373,14449.135,6761932,15091.9988,6806838,16792.3363,6851221,17385.5448,6895315,17577.2744,6939534,31138.8602,6984096,19350.1247,7029022,19543.62595,7074129,19737.12719
Cuba,CUB,10582081,12062.1,10663585,11973.6,10733363,11676.1,10794135,10526.2,10850585,10974.8,10906043,10418.5,10961012,11183.7,11013983,10960.8,11064097,10597.6,11110004,10507.8,11150736,10561,11186542,10205,11217998,10516.8,11244885,10161.6,11266941,9916.92,11284253,9274.16,11296233,8880.39,11303687,8605.03,11309754,8411.36,11318602,8564.51,11333051,8392.08,11354651,8476.0008,11382146,8559.9216
"Cayman Islands",CYM,25010,17.5904,26213,17.7291,27404,18.2246,28646,18.658,30055,19.3206,31672,19.8684,33536,20.3431,35597,20.6478,37740,21.1306,39808,21.7186,41687,22.2267,43316,22.6983,44738,23.1942,46028,23.6308,47299,24.1004,48622,24.5612,50031,25.1067,51483,25.8743,52926,26.7298,54279,27.2527,55507,28.1596,56579,28.441196,57523,28.722792
Cyprus,CYP,766614,440.832,783129,456.949,800609,466.188,818751,484.35,837110,516.362,855384,523.483,873423,539.594,891192,553.73,908704,561.923,926050,563.91,943286,568.197,960282,584.682,976966,611.301,993563,626.972,1010410,624.11,1027658,617.519,1045509,615.024,1063712,615.067,1081563,613.006,1098076,620.403,1112607,620.073,1124835,631.4062116,1135062,642.4094232
"Czech Republic",CZE,10333355,18247.2,10308578,17039.2,10319123,15040.8,10329855,13458.3,10333587,12315.5,10327253,11643.6,10315241,12822.7,10304131,12637.7,10294373,11965.5,10283860,11590.4,10255063,12956.9,10216605,12952.2,10196916,12555.4,10193998,12443.7,10197101,12352.3,10211216,12053.9,10238905,12005.9,10298828,12055.6,10384603,11869.2,10443936,11774.6,10474410,12033.4,10496088,11838.24326,10510785,11901.93351
Germany,DEU,79433029,115486,80013896,109165,80624598,102501,81156363,97864.8,81438348,94533.2,81678051,92567.9,81914831,89067.1,82034771,86764,82047195,83020.1,82100243,80165.7,82211508,76208.1,82349925,72517,82488495,68773.2,82534176,66316.7,82516260,63719.1,82469422,61764,82376451,60063.7,82266372,59594.5,82110097,57668.8,81902307,58669.3,81776930,57229.7,80274983,57212.63424,80425823,55720.81848
Djibouti,DJI,590398,417.598,606844,426.421,615054,432.697,618495,444.674,622366,461.055,630388,489.385,643682,510.57,660953,520.461,680612,533.015,700099,553.419,717584,560.647,732711,568.698,746221,572.888,758615,578.238,770752,585.847,783254,590.597,796208,596.296,809402,602.611,822934,608.952,836840,615.884,851146,621.61,865937,627.8261,881185,634.0422
