Country_Name,Country_Code,pop_1990,emissions_90,per_capita_90,pop_1991,emissions_91,per_capita_91,pop_1992,emissions_92,per_capita_92,pop_1993,emissions_93,per_capita_93,pop_1994,emissions_94,per_capita_94,pop_1995,emissions_95,per_capita_95,pop_1996,emissions_96,per_capita_96,pop_1997,emissions_97,per_capita_97,pop_1998,emissions_98,per_capita_98,pop_1999,emissions_99,per_capita_99,pop_2000,emissions_00,per_capita_00,pop_2001,emissions_01,per_capita_01,pop_2002,emissions_02,per_capita_02,pop_2003,emissions_03,per_capita_03,pop_2004,emissions_04,per_capita_04,pop_2005,emissions_05,per_capita_05,pop_2006,emissions_06,per_capita_06,pop_2007,emissions_07,per_capita_07,pop_2008,emissions_08,per_capita_08,pop_2009,emissions_09,per_capita_09,pop_2010,emissions_10,per_capita_10,pop_2011,emissions_11,per_capita_11,pop_2012,emissions_12,per_capita_12
Austria,AUT,7677850,10029300,1.306264123419968,7754891,10039800,1.2946410207441987,7840709,9884560,1.2606717071122011,7905633,9936150,1.2568443285945603,7936118,9627200,1.2130868013807254,7948278,9560780,1.2028743836086258,7959017,9454040,1.1878401566424597,7968041,9247570,1.160582632544185,7976789,9154760,1.1476748350746147,7992324,9106530,1.1394095134281343,8011566,8984800,1.121478622281836,8042293,8892310,1.1056933638204924,8081957,8792200,1.0878800765705634,8121423,8704100,1.0717456780665162,8171966,8571020,1.0488320680727257,8227829,8456510,1.0277936014469917,8268641,8432230,1.0197842668462689,8295487,8384120.000000001,1.0106844842261824,8321496,8304940.000000001,0.9980104538895411,8343323,8266990,0.9908510074463136,8363404,8391490,1.003358201995264,8391643,8137708.272,0.9697395697123913,8429991,8006813.544,0.9498009599298505
Azerbaijan,AZE,7159000,11458500,1.6005727056851515,7271000,11045700,1.519144546829872,7382000,10495100,1.4217149823895963,7495000,9898540,1.320685790527018,7597000,9473400,1.2469922337764907,7685000,9117490,1.1864007807417045,7763000,8898350,1.1462514491820173,7838250,8875620,1.1323471438139892,7913000,9117410,1.152206495640086,7982750,9700050,1.2151263662271774,8048600,9954630,1.2368150982779613,8111200,10274200,1.2666683104842686,8171950,10584200,1.2951865833736134,8234100,11059900,1.3431826186225575,8306500,11330600,1.3640642870041533,8391850,12102300,1.4421492281201405,8484550,13077100,1.54128386302161,8581300,14806800,1.7254728304569238,8763400,16945900,1.9337129424652533,8947243,17922200,2.0030974904783516,9054332,18400500,2.032231643372476,9173082,19177907.770000003,2.090672226630047,9295784,19955363.54,2.1467111907935896
Burundi,BDI,5415415,1716430,0.31695262505274296,5542048,1748870,0.3155638493206843,5661139,1793640,0.31683376790430334,5771398,1844030,0.3195118409785636,5871607,1855690,0.31604465353352157,5962058,1847700,0.309909766057291,6041112,1897050,0.3140233122643646,6112097,1921630,0.3143978245109657,6186352,1968260,0.318161656498046,6278940,1496810,0.23838577849127401,6400706,1504840,0.23510531494494513,6555829,2089830,0.3187743304469961,6741569,2130500,0.3160243557545729,6953113,2133740,0.30687549591096824,7182451,2231440,0.3106794602566728,7423289,2279680,0.30709837647436333,7675338,2353090,0.30657802952782015,7939573,2413610,0.30399745679018253,8212264,2482800,0.30232832261602893,8489031,2587940,0.30485693832429167,8766930,2665550,0.30404600013915933,9043508,2692205.5,0.29769482152279847,9319710,2718861,0.2917323607708824
Belgium,BEL,9967379,12445000,1.248572969885062,10004486,12512000,1.2506389633610362,10045158,12297800,1.2242515249635695,10084475,12053300,1.19523326697721,10115603,12007000,1.186978176189793,10136811,12157700,1.1993614165243882,10156637,11715800,1.1535117381865672,10181245,11367900,1.1165530345257382,10203008,11113100,1.08919840109897,10226419,11322700,1.1072008686520667,10251250,11079000,1.0807462504572614,10286570,10709900,1.041153659577488,10332785,10250100,0.9919978011736429,10376133,9916400,0.9556932240556284,10421137,9906040,0.9505719001678992,10478617,9623690,0.9184122294001202,10547958,9584150,0.908626105640542,10625700,9547300,0.8985102157975474,10709973,9537890,0.8905615354959345,10796493,9586100,0.8878901695207879,10895586,9632350,0.884059838543792,11047744,9414724.963000001,0.8521852934861635,11128246,9243348.927,0.8306204703778115
Benin,BEN,4978496,5119500,1.0283226098805744,5149499,4131130,0.8022392081249069,5331803,4779610,0.8964340955582942,5521763,4489970,0.8131406581557376,5714220,4604690,0.805830017045196,5905558,4947610,0.8377887407083293,6094259,4930250,0.8089990924245261,6281639,5039620,0.8022778768407417,6470265,4245880,0.6562142354293062,6664098,4658250,0.6990068273305705,6865951,4503770,0.6559572009762377,7076733,4433230,0.6264514995832117,7295394,4994050,0.6845483602393511,7520555,4124689.9999999995,0.548455532869582,7750004,4369940,0.5638629347804207,7982225,4377310,0.5483821866710097,8216896,4526100,0.550828439352281,8454791,5598090,0.6621204474480801,8696916,7086590,0.8148394212385172,8944706,7181710,0.8029006207694249,9199259,6845630,0.7441501538330424,9460802,6914086.3,0.7308139732762613,9729160,6982542.6,0.7176922365342948
"Burkina Faso",BFA,8811034,7238160,0.8214881477020745,9050084,7141100,0.7890644992908353,9297113,7577760,0.8150659242283061,9552476,7730340,0.8092498740640647,9816588,8009290,0.8158934652243732,10089878,8432060,0.8356949410091975,10372745,8680180,0.8368257389919448,10665546,9006010,0.8444021525011471,10968724,9210400,0.8396965772864738,11282701,8627910,0.7647025300058913,11607942,9039730,0.7787538910859478,11944587,10043700,0.8408578714358228,12293100,10031400,0.816018742221246,12654621,10453400,0.8260539766461595,13030569,11059700,0.8487503500422737,13421930,11746200,0.8751498480471884,13829177,12228700,0.8842680949126618,14252021,13396200,0.9399509024018419,14689726,13564000,0.9233664399186207,15141099,14147200,0.9343575390399337,15605217,14663900,0.9396793392876241,16081904,14810539,0.9209443732533162,16571216,14957178,0.9025999057643084
Bangladesh,BGD,106188642,87092700,0.8201696373516105,108727432,85947700,0.790487721626682,111221938,86069700,0.7738554240980767,113695139,84822600,0.7460530040778612,116182267,84986000,0.7314885670116937,118706871,85432800,0.7196954926054786,121269645,86646300,0.7144928972126536,123854640,87234000,0.7043256514249284,126447965,85824800,0.6787361109370167,129029691,89556100,0.6940735834204238,131581243,89247200,0.6782668864132861,134107160,90645800,0.6759206592697958,136600667,92039300,0.6737836792553875,139019001,92994300,0.6689322994056043,141307489,91778300,0.6494935310894951,143431101,94197900,0.6567466842494641,145368004,95019600,0.6536486529731811,147139191,96499600,0.6558388648473675,148805814,97832100,0.6574481021285902,150454708,99687700,0.6625761421835998,152149102,103080000,0.6774933183634564,153911916,104110800,0.6764310568390299,155727053,105141600,0.6751659263724717
Bulgaria,BGR,8718289,15675500,1.7980018785796157,8632367,15096200,1.7487903375748506,8540164,14847600,1.7385614608806108,8472313,14039000,1.6570445402571883,8443591,13612600,1.6121813574342954,8406067,13564600,1.6136678425237392,8362826,13735800,1.6424830553690821,8312068,13552900,1.630508797569991,8256786,13685200,1.6574487942402771,8210624,13626700,1.6596424339977083,8170172,13783300,1.6870269071446722,8009142,13442500,1.6783945146683628,7837161,13037500,1.6635488284596935,7775327,13144400,1.690526970762773,7716860,13134300,1.7020264719069673,7658972,12778300,1.6684092852147783,7601022,12652300,1.6645524772852913,7545338,12461800,1.6515893655128504,7492561,12280200,1.638985655238576,7444443,11969900,1.6078973269054515,7395599,12010700,1.624033428529589,7348328,11881800.74,1.6169393554560982,7305888,11793664.489999998,1.614268448955144
Bahrain,BHR,495931,1800130,3.6297993067584,509765,1641380,3.2198758251351114,523087,1798600,3.4384337595849255,536213,1932960,3.6048361378780447,549588,1938740,3.527624329497733,563699,1951660,3.4622378255061657,578668,2074810,3.5854928905693764,594930,2184400,3.671692468021448,613702,2302050,3.7510876614382878,636545,2343820,3.682096316835416,664614,2382550,3.584862792538225,697549,2457670,3.5232937040982066,735148,2568280,3.493555039257401,778711,2627620,3.3743198696307104,829848,2690750,3.242461270015714,889168,2779460,3.1259109639573173,958414,2925180,3.0521048315237467,1035891,3058410,2.9524438382030542,1114590,3195540,2.867009393588674,1185029,3239220,2.7334520927335957,1240862,3312280,2.669337927988769,1278269,3345402.8,2.6171352039359475,1300217,3378525.6,2.5984321078712247
"Bahamas, The",BHS,256336,141460,0.5518538168653642,261116,145567,0.5574802003707164,266134,148491,0.5579557666438711,271165,151936,0.5603082993749193,275895,156015,0.5654868700048932,280150,160252,0.5720221310012493,283790,164748,0.5805278551041263,286970,166832,0.5813569362651149,290060,168870,0.5821898917465352,293572,171277,0.5834241685174335,297890,174776,0.5867132162878915,303135,179165,0.5910402955778778,309157,182339,0.5897941822439732,315746,186350,0.5901895827658941,322526,191765,0.5945722205341585,329249,196505,0.5968279326588691,335830,201000,0.5985171068695471,342328,206223,0.602413474796102,348676,211842,0.6075611742706696,354856,216937,0.6113381202515951,360832,222181,0.6157463861298332,366568,224402.81,0.6121723936622946,372039,226624.62,0.6091421060695249
"Bosnia and Herzegovina",BIH,4463422,4589450,1.0282357348240878,4371603,4250820,0.9723710044118827,4239154,3714740,0.8762927697366031,4087999,3410670,0.8343128263974624,3948816,1748270,0.44273270772808865,3843712,1663950,0.4329018407206367,3780378,1445330,0.3823242014422896,3752431,1888930,0.5033883367875386,3750485,2193350,0.5848176969111994,3759118,2253680,0.5995236116557129,3766706,2671650,0.709280203976631,3771284,2216680,0.5877785921187585,3775807,2286000,0.6054334874637396,3779247,2635670,0.6974061234949713,3781287,2580150,0.6823470421578685,3781530,2665650,0.7049130907331159,3779468,2801770,0.7413133276958556,3774000,2944540,0.780217276099629,3763599,3037430,0.8070546304215725,3746561,3090910,0.8249992459751756,3722084,3078600,0.8271172816089051,3688865,3109386,0.8429113019858412,3648200,3140172,0.8607455731593663
Belarus,BLR,10189000,18649300,1.8303366375502994,10194000,18044200,1.7700804394742005,10216000,17377900,1.7010473766640564,10239000,16563099.999999998,1.617648207832796,10227000,15777400,1.5427202503177861,10194000,14837100,1.455473808122425,10160000,14268200,1.4043503937007873,10117000,13965100,1.3803597904517149,10069000,14006700,1.391071605919158,10026738,13819600,1.378274768922854,9979610,13322300,1.334951967060837,9928549,13379900,1.3476188715994653,9865548,13442400,1.3625598902362037,9796749,13221300,1.349559940751774,9730146,13458600,1.3831858226998854,9663915,14045800,1.453427518764393,9604924,14442300,1.5036350105425091,9560953,14870900,1.5553784230505054,9527985,15344000,1.6104139542621025,9506765,15913600,1.6739237795401485,9490583,16437500,1.731980005864761,9473172,16528600.66,1.7447799596587077,9464495,16619661.309999999,1.7560008547735508
Belize,BLZ,187552,169855,0.905642168571916,191126,181809,0.9512520536190785,194317,182770,0.9405764806990639,197616,179955,0.9106297060966724,201674,181384,0.8993920882215853,206963,160494,0.7754719442605683,213676,167411,0.7834805967914038,221606,162969,0.7353997635443084,230284,158402,0.6878549964391795,239026,168345,0.7042957669876917,247315,166999,0.6752481652952712,254984,165936,0.6507702444074922,262206,173831,0.6629558438784773,269130,183814,0.6829933489391744,276089,178063,0.6449478247956275,283277,187507,0.6619210172375449,290747,189883,0.6530867042480232,298407,191835,0.642863605746514,306165,193103,0.6307154638838535,313929,206720,0.6584928439233075,321608,224011,0.6965342901917863,329192,226251.11000000002,0.6872922489003378,336701,228491.22,0.6786175865233546
Bermuda,BMU,59326,24081.2,0.40591309038195733,59021,24270.7,0.4112214296606293,58595,24234.5,0.4135933100093865,58910,24462.9,0.41525886946189106,59320,24838.4,0.41871881321645316,59746,25105.2,0.42019884176346534,60129,25366.5,0.42186798383475527,60497,25383.4,0.41958113625469035,60943,25632.6,0.4205995766535943,61285,26042.3,0.42493758668515946,61833,26517.1,0.4288502902980609,62504,26838.4,0.4293869192371688,62912,27231.899999999998,0.43285700661241094,63325,27582.2,0.4355657323332017,63740,27994.3,0.4391951678694697,64154,28321.3,0.44145805405742433,64523,28716.2,0.44505370178076037,64888,28961.4,0.44632905930218225,65273,29419.3,0.4507116265530924,65636,29879,0.4552227436163081,65124,30352.9,0.4660785578281433,64564,30656.429,0.474822331330153,64798,30959.958,0.47779187629247816
Bolivia,BOL,6856244,22435900,3.2723310313926985,6992521,21403200,3.0608703213047197,7131707,23062200,3.233755957725128,7273825,25269100,3.4739768966121676,7418861,19438400,2.6201326591777363,7566714,20551200,2.7160006311854787,7717443,21495600,2.785326694346819,7870855,22156900,2.8150563058270035,8026254,19195000,2.391526607555654,8182712,37456800,4.577553261070413,8339512,19765700,2.3701266932645457,8496375,19566800,2.3029586147033294,8653345,23336200,2.6967837292977457,8810420,19758900,2.2426740155406892,8967741,55862700,6.229294534710581,9125409,29842800,3.270297254621683,9283334,19181000,2.0661757941704995,9441444,19943600,2.112346374135143,9599855,21016200,2.1892205663523043,9758748,21009000,2.152837638598722,9918242,22775900,2.296364617842557,10078343,23003659,2.2824842337673963,10239004,23231418,2.2689138513863263
Brazil,BRA,149352145,319678000,2.140431260629032,151976577,324383000,2.1344275966947195,154564278,340142000,2.200650786852574,157132682,356615000,2.2695151349863676,159705123,334732000,2.095937774018683,162296612,355036000,2.1875749322481237,164913306,350573000,2.1258017833927845,167545164,354875000,2.118085604667169,170170640,376882000,2.214729873496392,172759243,361634000,2.0932830783473624,175287587,343027000,1.9569383427019278,177750670,367626000,2.06821161349209,180151021,388268000,2.1552361893080807,182482149,419110000,2.2967178011477714,184738458,459552000,2.4875816599053784,186917361,492336000,2.6339768407066266,189012412,407314000,2.1549590087237234,191026637,412677000,2.160311286849488,192979029,421460000,2.1839678755975087,194895996,421609000,2.1632512142527545,196796269,443289000,2.252527460263995,198686688,469456497.3,2.3627979409471056,200560983,477076794.6,2.3787118883437066
Barbados,BRB,260374,128619,0.4939778933380445,261275,126948,0.48587886326667307,262184,125880,0.48012083117200133,263089,123372,0.46893636754102225,264015,123580,0.4680794651819025,264959,123837,0.46738174585501907,265942,124024,0.466357326033496,266945,111406,0.4173369046058177,267950,113956,0.4252883000559806,268922,117105,0.43546083994615536,269847,121071,0.44866535481217135,270685,106719,0.39425531521879675,271478,105882,0.39002055415171766,272258,104898,0.38528895385994166,273091,99503.1,0.36435876685793384,274009,103249,0.376808790952122,275039,101042,0.36737335432429585,276150,103080,0.3732753938077132,277319,103598,0.37356978786163225,278470,105803,0.3799439796028298,279569,107243,0.38360118611147875,280601,108315.43000000001,0.38601227365547525,281585,109387.86,0.38847190013672606
"Brunei Darussalam",BRN,258785,3611250,13.95463415576637,266274,3695320,13.877885185936291,273963,4173590,15.234137456517852,281751,3855170,13.682897310036166,289525,3829260,13.22600811674294,297192,4191140.0000000005,14.102465746049694,304699,3898590,12.794889382636635,312038,3914000,12.543344079887706,319222,7163450,22.440339324983867,326289,3964270,12.149566795080435,333241,3881730,11.648416611401359,340117,4047020,11.8989053766792,346867,4015770,11.577261601709012,353389,4266330,12.072616861305812,359523,4135800,11.503575570964863,365158,4570730,12.517129571308859,370250,4499680,12.153085752869682,374864,4333040,11.558965384779547,379252,4652140,12.266619556389946,383772,4429970,11.543234003522926,388662,4450360,11.450463384637551,394013,4494863.6,11.407906845713212,399748,4539367.199999999,11.35557201036653
Bhutan,BTN,537280,918942,1.7103595890410959,537284,910801,1.6951947201107793,531525,1195840,2.2498283241616104,523117,1192970,2.280503214386074,516503,1190050,2.3040524450003192,514877,1154710,2.2426909727954443,519282,1154010,2.2223185090182214,528754,1056380,1.9978666828052365,542155,1070870,1.9752100414088223,557543,1247890,2.2381950809175257,573416,1032400.0000000001,1.800438076370384,589600,948136,1.6081004070556308,606399,1010490,1.6663780778002601,623434,912517,1.463694633273129,640282,1016320,1.5873005956750308,656639,1033109.9999999999,1.5733302469088797,672228,1256190,1.8686963351719952,686958,1118850,1.6287021914003477,700950,1203310,1.7166844996076753,714458,1358170,1.9009794837485199,727641,1734980,2.3843901044608535,740510,1752329.8,2.3663823581045498,752967,1769679.5999999999,2.35027511165828
Botswana,BWA,1377912,6074010,4.408126208350025,1416731,4876540,3.4421072172487226,1455833,6693470,4.59769080656916,1494693,4024460,2.6924993961970785,1532622,4836680,3.1558205480542494,1569094,5429500,3.4602770770903466,1604060,4568760,2.8482475717865916,1637635,4458000,2.72221832093232,1669625,3974150,2.380265029572509,1699862,4125600.0000000005,2.4270205463737646,1728340,3941210,2.280344145249199,1754935,5161820,2.941316914871491,1779953,5879150,3.302980471956282,1804339,4367600,2.420609430932879,1829330,4429640,2.4214548495897406,1855852,4657860,2.509822981573962,1884238,3850230,2.0433883617674624,1914414,3936470,2.056227127465637,1946351,3875370,1.9910951313509229,1979882,4163790,2.103049575681783,2014866,4360950,2.1643871106068593,2051339,4404559.5,2.1471631456331695,2089315,4448169,2.1290083113364906
"Central African Republic",CAF,2939780,42252800,14.372776194136977,3014624,28539500,9.467018109057713,3095807,36670800,11.845312062412159,3181222,32322800,10.160498072753175,3267670,31685400,9.696633993028671,3352767,37658100,11.231946627964305,3435821,36284900,10.56076553464223,3517309,37143300,10.560146975997844,3597385,22640200,6.29351598452765,3676508,24269500,6.601236825814061,3754986,26663300,7.100772146687098,3832203,36482500,9.519981065721206,3907612,23758800,6.080132827926621,3981665,26071800,6.547964231044048,4055036,24080100,5.938319659800801,4127910,25739800,6.235552616214985,4201758,91775700,21.84221461588221,4275800,147533000,34.504186351092194,4345386,97375600,22.408964358977546,4404230,73694500,16.732663825458708,4448525,83996900,18.881966494512227,4476153,84836869,18.95307622415945,4490416,85676838,19.079933351386597
Canada,CAN,27791000,77163500,2.7765643553668453,28171682,81474000,2.892053090759721,28519597,83400600,2.9243260344807815,28833410,89389900,3.1002195023065258,29111906,104467000,3.58846308448509,29354000,109622000,3.7344825236765007,29671900,97909600,3.2997415062736124,29987200,98142200,3.27280306264006,30247900,114948000,3.8001976996750186,30499200,104782000,3.435565523030112,30769700,102170000,3.320474362765968,31081900,103053000,3.315530903837925,31362000,106819000,3.406000892800204,31676000,111137000,3.508555373153176,31995000,114500000,3.578684169401469,32312000,108519000,3.35847363208715,32570505,107954000,3.314471175684872,32887928,107975000,3.28311956897984,33245773,107850000,3.2440214279270934,33628571,103829000,3.087523403834198,34005274,104529000,3.0739055359471594,34342780,105687662.2,3.0774346805937087,34750545,106846774.30000001,3.0746790963997834
Switzerland,CHE,6715519,5907070,0.8796148145809728,6799978,5865670,0.8626013201807418,6875364,5749270,0.836213180858497,6938265,5666060,0.8166393183310237,6993795,5695960,0.8144305058984428,7040687,5613280,0.7972631079893198,7071850,5576610,0.7885645198922488,7088906,5386850,0.7598986359813489,7110001,5328370,0.7494190225852289,7143991,5155530,0.7216596437481514,7184250,5126480,0.7135720499704215,7229854,5150730,0.7124251748375555,7284753,5084650,0.6979852302473399,7339001,4975490,0.6779519446856596,7389625,4977710,0.6736079300370452,7437115,4954170,0.666141373368571,7483934,4945070,0.6607580986149798,7551117,4953020,0.6559320958740277,7647675,4946620,0.6468135740600902,7743831,4897930,0.6324944333108509,7824909,4992300,0.6380010297883336,7912398,4902809.876999999,0.6196364082039351,7996861,4900250.754,0.612771780577404
